effect,contrast,checkpoint,epsilon,metric,n_seeds,mean_diff,median_diff,sd_diff,min_diff,max_diff,n_positive,n_negative,per_seed
adaptive,V11-V10,maxscore,0.015,test_pgd_argmax_acc7,2,-0.012999999999999984,-0.012999999999999984,0.00899999999999998,-0.021999999999999964,-0.0040000000000000036,0,2,42:-0.0040;43:-0.0220
adaptive,V11-V10,maxscore,0.03,test_pgd_pauroc_far020,2,0.06398046398046395,0.06398046398046395,0.06324786324786333,0.000732600732600619,0.12722832722832728,2,0,42:+0.1272;43:+0.0007
adaptive,V11-V10,maxscore,0.03,test_pgd_auroc,2,0.018339438339438352,0.018339438339438352,0.02102564102564103,-0.0026862026862026767,0.03936507936507938,1,1,42:+0.0394;43:-0.0027
adaptive,V11-V10,maxscore,0.03,test_recall,2,0.044444444444444425,0.044444444444444425,0.022222222222222227,0.0222222222222222,0.06666666666666665,2,0,42:+0.0667;43:+0.0222
adaptive,V11-V10,maxscore,0.03,test_FAR,2,-0.001098901098901095,-0.001098901098901095,0.01428571428571429,-0.015384615384615385,0.013186813186813195,1,1,42:-0.0154;43:+0.0132
adaptive,V11-V10,maxscore,0.03,val_pgd_pauroc_far020,2,0.06903660498793238,0.06903660498793238,0.023632341110217198,0.04540426387771518,0.09266894609814957,2,0,42:+0.0927;43:+0.0454
adaptive,V11-V10,maxscore,0.03,val_pgd_auroc,2,0.016517497988736918,0.016517497988736918,0.01179102976669344,0.004726468222043478,0.028308527755430357,2,0,42:+0.0283;43:+0.0047
adaptive,V11-V10,maxscore,0.03,val_sel_recall,2,0.07954545454545459,0.07954545454545459,0.03409090909090906,0.045454545454545525,0.11363636363636365,2,0,42:+0.1136;43:+0.0455
adaptive,V11-V10,maxscore,0.03,test_pgd_cohens_d,2,0.10508616158033623,0.10508616158033623,0.17208905495022675,-0.06700289336989051,0.277175216530563,1,1,42:+0.2772;43:-0.0670
adaptive,V11-V10,maxscore,0.03,test_clean_recall_at_tau,2,-0.022222222222222254,-0.022222222222222254,0.022222222222222254,-0.04444444444444451,0.0,0,1,42:+0.0000;43:-0.0444
adaptive,V11-V10,maxscore,0.03,test_pgd_argmax_acc7,2,-0.055999999999999994,-0.055999999999999994,0.010000000000000009,-0.066,-0.045999999999999985,0,2,42:-0.0460;43:-0.0660
