path,kind,sha256,size_bytes,generator_script,link_method,evidence_level,evidence_provenance,split,claim_boundary,overleaf_ready,overleaf_blockers,committed
results/cross_architecture/gru/gru_seed43_fgsm_sweep_predictions_test.csv,predictions,26d012078d621c378e888fcdfa74a7455122c3b383f9bca1121afc608d6390b0,611295,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_legacy_eval_fall_binary_metrics.csv,csv,29f3259556b2eba27619e584f37f9f47896c3d4216ba8aa6609742418a8578ad,290,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_legacy_eval_per_class_metrics.csv,csv,4fcf0696e7bbbc6e62d9467963ab5214d189e0afd673da957d023f3fc0d678e7,334,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_legacy_eval_predictions.csv,csv,466b920fa4bcf2d65deb0588c9651736297798644f282b1c1a6bef28753fecc8,35968,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_legacy_eval_summary_metrics.csv,csv,7e007aa633d8c1b830a597a631fcf098bbd890cad1ef834205478b2286237a65,296,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_metadata.json,metadata,ecd2425be3d404e00b593381b1cb1a085d1d284e5f0951d32bbeb9a90e23dc1c,3178,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_per_class_metrics.csv,csv,5ff5e6e6474041c2bc205c2408d3e1f31cfb04126d1994e581e3a5cfdce51349,333,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_pgd_epsilon_sweep_legacy.csv,csv,9a8eb4d61af18a1959be55ccdbd82056a7c42b8a399f68cc2f8fa248d4e67dfd,2624,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_pgd_epsilon_sweep_test.csv,csv,671341072f511b7583a7cfb6d2a5eeafb37b2d280d5f850eb698789cb21440d9,2584,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_pgd_predictions_legacy_epsilon_0_03.csv,predictions,274a93f2176ceb049f4f80a39eb58a30ee9da4b35e7d457ea1ec581df916dea5,80332,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_pgd_predictions_test_epsilon_0_03.csv,predictions,99b58ec9fea1eaf1ece3e86652665c741909fa08d903dd4437319f7cf790228f,40463,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_pgd_safety_metrics_legacy_epsilon_0_03.csv,csv,3c376e582b260333f45be91c695474bcb407c031c7b3ead22c50b0bad5d1bdb1,479,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_pgd_safety_metrics_test_epsilon_0_03.csv,csv,4d82d6e691fd929856ca6d137a9f8e6da21bff6a858c7f9e9faa85752bb40d35,477,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_pgd_sweep_predictions_legacy.csv,predictions,48bda0d69e9ed0f57af9a4149cb250e060041f5eef9f3d1e47d49cd3f410c24e,1438549,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_pgd_sweep_predictions_test.csv,predictions,52efadca2e8bc5932d3eadd90005ebe2fafa965e254ba0c11f9131be78f52a3f,721656,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_summary_metrics.csv,csv,1273d0512b9a7199924b183562ca044c583abd2c5fcb6b797a5094f4048157b6,428,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_sweep_metadata.json,metadata,a7928c0580bce28ce864a0b832314cf892af52bafae2269c96c39dad6643b07e,3581,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_test_predictions.csv,csv,b60d0bb59cacbddb3192e195a1f52f710af030da9ebc0f7f7706bf3583aebe74,18077,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
